RefImageName,NoiseType,NoisyImage
./nn_data/pokemon/raw/104.png,3,119.png
./nn_data/pokemon/raw/178.png,0,120.png
./nn_data/pokemon/raw/58.png,1,121.png
./nn_data/pokemon/raw/45.png,3,122.png
./nn_data/pokemon/raw/160.png,0,123.png
./nn_data/pokemon/raw/134.png,0,124.png
./nn_data/pokemon/raw/84.png,3,125.png
./nn_data/pokemon/raw/196.png,2,126.png
./nn_data/pokemon/raw/185.png,3,127.png
./nn_data/pokemon/raw/140.png,2,128.png
./nn_data/pokemon/raw/105.png,1,129.png
./nn_data/pokemon/raw/22.png,3,130.png
./nn_data/pokemon/raw/190.png,1,131.png
./nn_data/pokemon/raw/165.png,2,132.png
./nn_data/pokemon/raw/132.png,3,133.png
./nn_data/pokemon/raw/31.png,2,134.png
./nn_data/pokemon/raw/52.png,1,135.png
./nn_data/pokemon/raw/69.png,1,136.png
./nn_data/pokemon/raw/37.png,3,137.png
./nn_data/pokemon/raw/31.png,0,138.png
./nn_data/pokemon/raw/81.png,0,139.png
./nn_data/pokemon/raw/111.png,1,140.png
./nn_data/pokemon/raw/129.png,0,141.png
./nn_data/pokemon/raw/117.png,0,142.png
./nn_data/pokemon/raw/5.png,3,143.png
./nn_data/pokemon/raw/148.png,0,144.png
./nn_data/pokemon/raw/2.png,1,145.png
./nn_data/pokemon/raw/54.png,1,146.png
./nn_data/pokemon/raw/76.png,0,147.png
./nn_data/pokemon/raw/36.png,0,148.png
./nn_data/pokemon/raw/83.png,1,149.png
./nn_data/pokemon/raw/7.png,3,150.png
./nn_data/pokemon/raw/156.png,1,151.png
./nn_data/pokemon/raw/51.png,0,152.png
./nn_data/pokemon/raw/117.png,0,153.png
./nn_data/pokemon/raw/18.png,1,154.png
./nn_data/pokemon/raw/134.png,3,155.png
./nn_data/pokemon/raw/61.png,2,156.png
./nn_data/pokemon/raw/96.png,1,157.png
./nn_data/pokemon/raw/114.png,1,158.png
./nn_data/pokemon/raw/3.png,2,159.png
./nn_data/pokemon/raw/109.png,2,160.png
./nn_data/pokemon/raw/64.png,1,161.png
./nn_data/pokemon/raw/187.png,0,162.png
./nn_data/pokemon/raw/124.png,1,163.png
./nn_data/pokemon/raw/137.png,2,164.png
./nn_data/pokemon/raw/194.png,2,165.png
./nn_data/pokemon/raw/51.png,1,166.png
./nn_data/pokemon/raw/76.png,2,167.png
./nn_data/pokemon/raw/129.png,1,168.png
./nn_data/pokemon/raw/187.png,0,169.png
./nn_data/pokemon/raw/122.png,3,170.png
./nn_data/pokemon/raw/34.png,2,171.png
./nn_data/pokemon/raw/33.png,3,172.png
./nn_data/pokemon/raw/58.png,0,173.png
./nn_data/pokemon/raw/153.png,3,174.png
./nn_data/pokemon/raw/61.png,0,175.png
./nn_data/pokemon/raw/2.png,1,176.png
./nn_data/pokemon/raw/89.png,0,177.png
./nn_data/pokemon/raw/31.png,3,178.png
./nn_data/pokemon/raw/12.png,3,179.png
./nn_data/pokemon/raw/74.png,3,180.png
./nn_data/pokemon/raw/37.png,1,181.png
./nn_data/pokemon/raw/140.png,0,182.png
./nn_data/pokemon/raw/9.png,3,183.png
./nn_data/pokemon/raw/194.png,1,184.png
./nn_data/pokemon/raw/92.png,0,185.png
./nn_data/pokemon/raw/92.png,3,186.png
./nn_data/pokemon/raw/159.png,2,187.png
./nn_data/pokemon/raw/180.png,0,188.png
./nn_data/pokemon/raw/104.png,2,189.png
./nn_data/pokemon/raw/64.png,1,190.png
./nn_data/pokemon/raw/69.png,3,191.png
./nn_data/pokemon/raw/100.png,3,192.png
./nn_data/pokemon/raw/34.png,0,193.png
./nn_data/pokemon/raw/22.png,2,194.png
./nn_data/pokemon/raw/69.png,2,195.png
./nn_data/pokemon/raw/176.png,3,196.png
./nn_data/pokemon/raw/134.png,1,197.png
./nn_data/pokemon/raw/76.png,3,198.png
./nn_data/pokemon/raw/16.png,0,199.png
./nn_data/pokemon/raw/93.png,1,200.png
./nn_data/pokemon/raw/98.png,1,201.png
./nn_data/pokemon/raw/58.png,0,202.png
./nn_data/pokemon/raw/176.png,1,203.png
./nn_data/pokemon/raw/115.png,0,204.png
./nn_data/pokemon/raw/43.png,3,205.png
./nn_data/pokemon/raw/188.png,2,206.png
./nn_data/pokemon/raw/92.png,3,207.png
./nn_data/pokemon/raw/40.png,3,208.png
./nn_data/pokemon/raw/181.png,0,209.png
./nn_data/pokemon/raw/9.png,3,210.png
./nn_data/pokemon/raw/157.png,0,211.png
./nn_data/pokemon/raw/23.png,1,212.png
./nn_data/pokemon/raw/71.png,3,213.png
./nn_data/pokemon/raw/174.png,2,214.png
./nn_data/pokemon/raw/70.png,3,215.png
./nn_data/pokemon/raw/118.png,2,216.png
./nn_data/pokemon/raw/90.png,1,217.png
./nn_data/pokemon/raw/7.png,1,218.png
./nn_data/pokemon/raw/140.png,1,219.png
./nn_data/pokemon/raw/191.png,2,220.png
./nn_data/pokemon/raw/98.png,2,221.png
./nn_data/pokemon/raw/195.png,1,222.png
./nn_data/pokemon/raw/67.png,2,223.png
./nn_data/pokemon/raw/121.png,0,224.png
./nn_data/pokemon/raw/102.png,3,225.png
./nn_data/pokemon/raw/92.png,0,226.png
./nn_data/pokemon/raw/178.png,1,227.png
./nn_data/pokemon/raw/145.png,0,228.png
./nn_data/pokemon/raw/155.png,1,229.png
./nn_data/pokemon/raw/99.png,0,230.png
./nn_data/pokemon/raw/47.png,2,231.png
./nn_data/pokemon/raw/84.png,1,232.png
./nn_data/pokemon/raw/196.png,2,233.png
./nn_data/pokemon/raw/33.png,0,234.png
./nn_data/pokemon/raw/93.png,3,235.png
./nn_data/pokemon/raw/38.png,0,236.png
./nn_data/pokemon/raw/139.png,1,237.png
./nn_data/pokemon/raw/20.png,3,238.png
./nn_data/pokemon/raw/85.png,3,239.png
./nn_data/pokemon/raw/28.png,3,240.png
./nn_data/pokemon/raw/158.png,0,241.png
./nn_data/pokemon/raw/85.png,1,242.png
./nn_data/pokemon/raw/17.png,2,243.png
./nn_data/pokemon/raw/1.png,0,244.png
./nn_data/pokemon/raw/64.png,0,245.png
./nn_data/pokemon/raw/146.png,0,246.png
./nn_data/pokemon/raw/166.png,3,247.png
./nn_data/pokemon/raw/70.png,2,248.png
./nn_data/pokemon/raw/167.png,3,249.png
./nn_data/pokemon/raw/101.png,0,250.png
./nn_data/pokemon/raw/20.png,1,251.png
./nn_data/pokemon/raw/100.png,2,252.png
./nn_data/pokemon/raw/119.png,1,253.png
./nn_data/pokemon/raw/80.png,1,254.png
./nn_data/pokemon/raw/68.png,2,255.png
./nn_data/pokemon/raw/21.png,1,256.png
./nn_data/pokemon/raw/197.png,2,257.png
./nn_data/pokemon/raw/98.png,2,258.png
./nn_data/pokemon/raw/122.png,2,259.png
./nn_data/pokemon/raw/147.png,0,260.png
./nn_data/pokemon/raw/63.png,2,261.png
./nn_data/pokemon/raw/14.png,3,262.png
./nn_data/pokemon/raw/144.png,1,263.png
./nn_data/pokemon/raw/140.png,3,264.png
./nn_data/pokemon/raw/199.png,0,265.png
./nn_data/pokemon/raw/76.png,2,266.png
./nn_data/pokemon/raw/1.png,1,267.png
./nn_data/pokemon/raw/165.png,2,268.png
./nn_data/pokemon/raw/139.png,1,269.png
./nn_data/pokemon/raw/151.png,0,270.png
./nn_data/pokemon/raw/168.png,3,271.png
./nn_data/pokemon/raw/121.png,2,272.png
./nn_data/pokemon/raw/33.png,1,273.png
./nn_data/pokemon/raw/138.png,1,274.png
./nn_data/pokemon/raw/102.png,0,275.png
./nn_data/pokemon/raw/153.png,1,276.png
./nn_data/pokemon/raw/24.png,0,277.png
./nn_data/pokemon/raw/80.png,1,278.png
./nn_data/pokemon/raw/197.png,2,279.png
./nn_data/pokemon/raw/88.png,2,280.png
./nn_data/pokemon/raw/65.png,1,281.png
./nn_data/pokemon/raw/91.png,3,282.png
./nn_data/pokemon/raw/98.png,1,283.png
./nn_data/pokemon/raw/67.png,3,284.png
./nn_data/pokemon/raw/69.png,3,285.png
./nn_data/pokemon/raw/174.png,3,286.png
./nn_data/pokemon/raw/147.png,2,287.png
./nn_data/pokemon/raw/192.png,3,288.png
./nn_data/pokemon/raw/12.png,2,289.png
./nn_data/pokemon/raw/160.png,3,290.png
./nn_data/pokemon/raw/171.png,1,291.png
./nn_data/pokemon/raw/132.png,0,292.png
./nn_data/pokemon/raw/62.png,0,293.png
./nn_data/pokemon/raw/141.png,2,294.png
./nn_data/pokemon/raw/194.png,1,295.png
./nn_data/pokemon/raw/91.png,3,296.png
./nn_data/pokemon/raw/143.png,0,297.png
./nn_data/pokemon/raw/131.png,3,298.png
./nn_data/pokemon/raw/28.png,1,299.png
./nn_data/pokemon/raw/152.png,0,300.png
./nn_data/pokemon/raw/13.png,2,301.png
./nn_data/pokemon/raw/175.png,2,302.png
./nn_data/pokemon/raw/189.png,2,303.png
./nn_data/pokemon/raw/22.png,2,304.png
./nn_data/pokemon/raw/88.png,0,305.png
./nn_data/pokemon/raw/65.png,2,306.png
./nn_data/pokemon/raw/141.png,2,307.png
./nn_data/pokemon/raw/193.png,1,308.png
./nn_data/pokemon/raw/27.png,0,309.png
./nn_data/pokemon/raw/111.png,0,310.png
./nn_data/pokemon/raw/170.png,0,311.png
./nn_data/pokemon/raw/7.png,2,312.png
./nn_data/pokemon/raw/98.png,1,313.png
./nn_data/pokemon/raw/140.png,3,314.png
./nn_data/pokemon/raw/71.png,2,315.png
./nn_data/pokemon/raw/113.png,1,316.png
./nn_data/pokemon/raw/35.png,3,317.png
./nn_data/pokemon/raw/82.png,2,318.png
./nn_data/pokemon/raw/177.png,0,319.png
./nn_data/pokemon/raw/11.png,0,320.png
./nn_data/pokemon/raw/85.png,1,321.png
./nn_data/pokemon/raw/169.png,0,322.png
./nn_data/pokemon/raw/198.png,0,323.png
./nn_data/pokemon/raw/116.png,1,324.png
./nn_data/pokemon/raw/181.png,1,325.png
./nn_data/pokemon/raw/49.png,1,326.png
./nn_data/pokemon/raw/16.png,2,327.png
./nn_data/pokemon/raw/52.png,1,328.png
./nn_data/pokemon/raw/159.png,1,329.png
./nn_data/pokemon/raw/75.png,3,330.png
./nn_data/pokemon/raw/172.png,3,331.png
./nn_data/pokemon/raw/151.png,2,332.png
./nn_data/pokemon/raw/31.png,2,333.png
./nn_data/pokemon/raw/79.png,0,334.png
./nn_data/pokemon/raw/178.png,0,335.png
./nn_data/pokemon/raw/172.png,3,336.png
./nn_data/pokemon/raw/134.png,2,337.png
./nn_data/pokemon/raw/68.png,2,338.png
./nn_data/pokemon/raw/193.png,0,339.png
./nn_data/pokemon/raw/57.png,0,340.png
./nn_data/pokemon/raw/136.png,0,341.png
./nn_data/pokemon/raw/111.png,3,342.png
./nn_data/pokemon/raw/131.png,0,343.png
./nn_data/pokemon/raw/67.png,3,344.png
./nn_data/pokemon/raw/105.png,3,345.png
./nn_data/pokemon/raw/35.png,2,346.png
./nn_data/pokemon/raw/129.png,1,347.png
./nn_data/pokemon/raw/175.png,2,348.png
./nn_data/pokemon/raw/138.png,3,349.png
./nn_data/pokemon/raw/2.png,0,350.png
./nn_data/pokemon/raw/11.png,2,351.png
./nn_data/pokemon/raw/30.png,0,352.png
./nn_data/pokemon/raw/144.png,3,353.png
./nn_data/pokemon/raw/52.png,0,354.png
./nn_data/pokemon/raw/36.png,0,355.png
./nn_data/pokemon/raw/91.png,3,356.png
./nn_data/pokemon/raw/120.png,2,357.png
./nn_data/pokemon/raw/97.png,3,358.png
./nn_data/pokemon/raw/161.png,0,359.png
./nn_data/pokemon/raw/157.png,0,360.png
./nn_data/pokemon/raw/69.png,3,361.png
./nn_data/pokemon/raw/182.png,1,362.png
./nn_data/pokemon/raw/177.png,2,363.png
./nn_data/pokemon/raw/25.png,3,364.png
./nn_data/pokemon/raw/122.png,1,365.png
./nn_data/pokemon/raw/170.png,2,366.png
./nn_data/pokemon/raw/183.png,2,367.png
./nn_data/pokemon/raw/85.png,1,368.png
./nn_data/pokemon/raw/13.png,2,369.png
./nn_data/pokemon/raw/5.png,1,370.png
./nn_data/pokemon/raw/120.png,1,371.png
./nn_data/pokemon/raw/152.png,2,372.png
./nn_data/pokemon/raw/157.png,3,373.png
./nn_data/pokemon/raw/59.png,0,374.png
./nn_data/pokemon/raw/31.png,1,375.png
./nn_data/pokemon/raw/182.png,0,376.png
./nn_data/pokemon/raw/180.png,1,377.png
./nn_data/pokemon/raw/137.png,2,378.png
./nn_data/pokemon/raw/142.png,2,379.png
./nn_data/pokemon/raw/171.png,3,380.png
./nn_data/pokemon/raw/27.png,0,381.png
./nn_data/pokemon/raw/66.png,0,382.png
./nn_data/pokemon/raw/168.png,0,383.png
./nn_data/pokemon/raw/92.png,2,384.png
./nn_data/pokemon/raw/183.png,0,385.png
./nn_data/pokemon/raw/81.png,3,386.png
./nn_data/pokemon/raw/76.png,3,387.png
./nn_data/pokemon/raw/122.png,2,388.png
./nn_data/pokemon/raw/95.png,1,389.png
./nn_data/pokemon/raw/154.png,1,390.png
./nn_data/pokemon/raw/36.png,2,391.png
./nn_data/pokemon/raw/191.png,1,392.png
./nn_data/pokemon/raw/150.png,1,393.png
./nn_data/pokemon/raw/169.png,2,394.png
./nn_data/pokemon/raw/142.png,3,395.png
./nn_data/pokemon/raw/34.png,1,396.png
./nn_data/pokemon/raw/115.png,2,397.png
./nn_data/pokemon/raw/88.png,0,398.png
./nn_data/pokemon/raw/47.png,3,399.png
./nn_data/pokemon/raw/106.png,3,400.png
./nn_data/pokemon/raw/160.png,2,401.png
./nn_data/pokemon/raw/9.png,0,402.png
./nn_data/pokemon/raw/185.png,2,403.png
./nn_data/pokemon/raw/174.png,1,404.png
./nn_data/pokemon/raw/165.png,0,405.png
./nn_data/pokemon/raw/130.png,0,406.png
./nn_data/pokemon/raw/63.png,2,407.png
./nn_data/pokemon/raw/167.png,2,408.png
./nn_data/pokemon/raw/174.png,1,409.png
./nn_data/pokemon/raw/94.png,3,410.png
./nn_data/pokemon/raw/74.png,2,411.png
./nn_data/pokemon/raw/85.png,1,412.png
./nn_data/pokemon/raw/136.png,1,413.png
./nn_data/pokemon/raw/190.png,0,414.png
./nn_data/pokemon/raw/189.png,1,415.png
./nn_data/pokemon/raw/98.png,3,416.png
./nn_data/pokemon/raw/127.png,1,417.png
./nn_data/pokemon/raw/43.png,0,418.png
./nn_data/pokemon/raw/98.png,3,419.png
./nn_data/pokemon/raw/39.png,0,420.png
./nn_data/pokemon/raw/169.png,0,421.png
./nn_data/pokemon/raw/56.png,1,422.png
./nn_data/pokemon/raw/57.png,3,423.png
./nn_data/pokemon/raw/78.png,3,424.png
./nn_data/pokemon/raw/54.png,0,425.png
./nn_data/pokemon/raw/190.png,3,426.png
./nn_data/pokemon/raw/1.png,0,427.png
./nn_data/pokemon/raw/81.png,1,428.png
./nn_data/pokemon/raw/97.png,1,429.png
./nn_data/pokemon/raw/79.png,1,430.png
./nn_data/pokemon/raw/12.png,2,431.png
./nn_data/pokemon/raw/37.png,1,432.png
./nn_data/pokemon/raw/91.png,2,433.png
./nn_data/pokemon/raw/5.png,1,434.png
./nn_data/pokemon/raw/13.png,2,435.png
./nn_data/pokemon/raw/79.png,1,436.png
./nn_data/pokemon/raw/75.png,1,437.png
./nn_data/pokemon/raw/141.png,3,438.png
./nn_data/pokemon/raw/128.png,2,439.png
./nn_data/pokemon/raw/81.png,1,440.png
./nn_data/pokemon/raw/85.png,2,441.png
./nn_data/pokemon/raw/104.png,2,442.png
./nn_data/pokemon/raw/179.png,2,443.png
./nn_data/pokemon/raw/145.png,3,444.png
./nn_data/pokemon/raw/112.png,2,445.png
./nn_data/pokemon/raw/181.png,3,446.png
./nn_data/pokemon/raw/111.png,2,447.png
./nn_data/pokemon/raw/4.png,1,448.png
./nn_data/pokemon/raw/58.png,1,449.png
./nn_data/pokemon/raw/134.png,1,450.png
./nn_data/pokemon/raw/6.png,0,451.png
./nn_data/pokemon/raw/162.png,2,452.png
./nn_data/pokemon/raw/170.png,2,453.png
./nn_data/pokemon/raw/44.png,1,454.png
./nn_data/pokemon/raw/12.png,2,455.png
./nn_data/pokemon/raw/120.png,2,456.png
./nn_data/pokemon/raw/178.png,2,457.png
./nn_data/pokemon/raw/13.png,2,458.png
./nn_data/pokemon/raw/48.png,1,459.png
./nn_data/pokemon/raw/178.png,3,460.png
./nn_data/pokemon/raw/191.png,1,461.png
./nn_data/pokemon/raw/62.png,1,462.png
./nn_data/pokemon/raw/112.png,1,463.png
./nn_data/pokemon/raw/188.png,1,464.png
./nn_data/pokemon/raw/177.png,2,465.png
./nn_data/pokemon/raw/84.png,2,466.png
./nn_data/pokemon/raw/67.png,3,467.png
./nn_data/pokemon/raw/7.png,1,468.png
./nn_data/pokemon/raw/153.png,0,469.png
./nn_data/pokemon/raw/82.png,2,470.png
./nn_data/pokemon/raw/171.png,2,471.png
./nn_data/pokemon/raw/22.png,0,472.png
./nn_data/pokemon/raw/169.png,1,473.png
./nn_data/pokemon/raw/151.png,2,474.png
./nn_data/pokemon/raw/102.png,2,475.png
./nn_data/pokemon/raw/24.png,1,476.png
./nn_data/pokemon/raw/196.png,1,477.png
./nn_data/pokemon/raw/75.png,3,478.png
./nn_data/pokemon/raw/82.png,3,479.png
./nn_data/pokemon/raw/53.png,0,480.png
./nn_data/pokemon/raw/198.png,0,481.png
./nn_data/pokemon/raw/61.png,1,482.png
./nn_data/pokemon/raw/119.png,2,483.png
./nn_data/pokemon/raw/78.png,2,484.png
./nn_data/pokemon/raw/95.png,1,485.png
./nn_data/pokemon/raw/29.png,3,486.png
./nn_data/pokemon/raw/88.png,0,487.png
./nn_data/pokemon/raw/171.png,0,488.png
./nn_data/pokemon/raw/92.png,1,489.png
./nn_data/pokemon/raw/129.png,2,490.png
./nn_data/pokemon/raw/123.png,2,491.png
./nn_data/pokemon/raw/132.png,1,492.png
./nn_data/pokemon/raw/147.png,0,493.png
./nn_data/pokemon/raw/132.png,1,494.png
./nn_data/pokemon/raw/75.png,3,495.png
./nn_data/pokemon/raw/33.png,0,496.png
./nn_data/pokemon/raw/18.png,2,497.png
./nn_data/pokemon/raw/113.png,0,498.png
./nn_data/pokemon/raw/100.png,0,499.png
./nn_data/pokemon/raw/127.png,1,500.png
./nn_data/pokemon/raw/151.png,1,501.png
./nn_data/pokemon/raw/96.png,2,502.png
./nn_data/pokemon/raw/139.png,3,503.png
./nn_data/pokemon/raw/83.png,1,504.png
./nn_data/pokemon/raw/62.png,2,505.png
./nn_data/pokemon/raw/61.png,2,506.png
./nn_data/pokemon/raw/199.png,3,507.png
./nn_data/pokemon/raw/106.png,1,508.png
./nn_data/pokemon/raw/91.png,1,509.png
./nn_data/pokemon/raw/88.png,3,510.png
./nn_data/pokemon/raw/171.png,1,511.png
./nn_data/pokemon/raw/82.png,3,512.png
./nn_data/pokemon/raw/40.png,3,513.png
./nn_data/pokemon/raw/31.png,3,514.png
./nn_data/pokemon/raw/36.png,0,515.png
./nn_data/pokemon/raw/152.png,0,516.png
./nn_data/pokemon/raw/191.png,2,517.png
./nn_data/pokemon/raw/21.png,3,518.png
./nn_data/pokemon/raw/10.png,3,519.png
./nn_data/pokemon/raw/177.png,0,520.png
./nn_data/pokemon/raw/150.png,2,521.png
./nn_data/pokemon/raw/120.png,2,522.png
./nn_data/pokemon/raw/39.png,0,523.png
./nn_data/pokemon/raw/74.png,3,524.png
./nn_data/pokemon/raw/156.png,1,525.png
./nn_data/pokemon/raw/67.png,2,526.png
./nn_data/pokemon/raw/66.png,0,527.png
./nn_data/pokemon/raw/86.png,0,528.png
./nn_data/pokemon/raw/101.png,1,529.png
./nn_data/pokemon/raw/53.png,3,530.png
./nn_data/pokemon/raw/120.png,3,531.png
./nn_data/pokemon/raw/78.png,0,532.png
./nn_data/pokemon/raw/58.png,0,533.png
./nn_data/pokemon/raw/185.png,3,534.png
./nn_data/pokemon/raw/21.png,1,535.png
./nn_data/pokemon/raw/24.png,1,536.png
./nn_data/pokemon/raw/40.png,1,537.png
./nn_data/pokemon/raw/167.png,1,538.png
./nn_data/pokemon/raw/95.png,1,539.png
./nn_data/pokemon/raw/103.png,3,540.png
./nn_data/pokemon/raw/29.png,0,541.png
./nn_data/pokemon/raw/147.png,3,542.png
./nn_data/pokemon/raw/124.png,1,543.png
./nn_data/pokemon/raw/61.png,2,544.png
./nn_data/pokemon/raw/180.png,2,545.png
./nn_data/pokemon/raw/143.png,1,546.png
./nn_data/pokemon/raw/14.png,1,547.png
./nn_data/pokemon/raw/186.png,1,548.png
./nn_data/pokemon/raw/185.png,0,549.png
./nn_data/pokemon/raw/124.png,3,550.png
./nn_data/pokemon/raw/25.png,0,551.png
./nn_data/pokemon/raw/95.png,3,552.png
./nn_data/pokemon/raw/88.png,0,553.png
./nn_data/pokemon/raw/83.png,1,554.png
./nn_data/pokemon/raw/61.png,1,555.png
./nn_data/pokemon/raw/152.png,3,556.png
./nn_data/pokemon/raw/115.png,2,557.png
./nn_data/pokemon/raw/100.png,3,558.png
./nn_data/pokemon/raw/20.png,0,559.png
./nn_data/pokemon/raw/173.png,2,560.png
./nn_data/pokemon/raw/42.png,0,561.png
./nn_data/pokemon/raw/102.png,0,562.png
./nn_data/pokemon/raw/118.png,1,563.png
./nn_data/pokemon/raw/102.png,1,564.png
./nn_data/pokemon/raw/120.png,0,565.png
./nn_data/pokemon/raw/153.png,2,566.png
./nn_data/pokemon/raw/176.png,0,567.png
./nn_data/pokemon/raw/14.png,2,568.png
./nn_data/pokemon/raw/119.png,3,569.png
./nn_data/pokemon/raw/9.png,2,570.png
./nn_data/pokemon/raw/34.png,3,571.png
./nn_data/pokemon/raw/59.png,2,572.png
./nn_data/pokemon/raw/50.png,0,573.png
./nn_data/pokemon/raw/51.png,2,574.png
./nn_data/pokemon/raw/49.png,3,575.png
./nn_data/pokemon/raw/88.png,3,576.png
./nn_data/pokemon/raw/193.png,3,577.png
./nn_data/pokemon/raw/170.png,1,578.png
./nn_data/pokemon/raw/93.png,3,579.png
./nn_data/pokemon/raw/187.png,2,580.png
